,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company,state,zip_code,company_response,timely_response,consumer_disputed
64021,Student loan,Non-federal student loan,Dealing with my lender or servicer,Keep getting calls about my loan,"Hello, I received a Smart Option Student Loan from Sallie Mae in XXXX of 2014 in the amount of {$5000.00} to supplement my living expenses while finishing XXXX XXXX. I am still in school until XXXX of this year. I filed for chapter XXXX bankruptcy last fall and was discharged in XXXX 2014. Sallie Mae started contacting me last week stating that this loan ( unlike my others through the Federal government ) is now due in full because it is ( 1 ) private and ( 2 ) ca n't be discharged and that the ( 3 ) contract for this loan is now null and void. Sallie Mae is now looking to receive payment in full on this loan within 12 months, and doing so would require payments of over $ XXXX/month.  ",Sallie Mae,NY,12200.0,Closed with explanation,Yes,
64022,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,"Attempting to work a short sale for my property with Wells Fargo XXXX WF XXXX. Filed previous complaint XXXX case number XXXX ) and WF response was, "" Be advised that when it 's been determined an account is eligible for a short sale and a signed offer is received, an appraisal or Broker 's Price Opinion is ordered. We 'll then research and review the offer. After all required information and approvals are received ; the short sale decision will be communicated to you within 30 days. "" We have had a contract since XXXX 2015, WF just keeps asking for bank statements, then they say I do n't qualify, that I can afford the payments, now they say the offer is too low but will not respond with a price range of what the offer should be.   The issue is, that I ca n't sell the house for what I owe on it, which I am told is considered a Short Sale. WF does not seem to use the same definition though. The current buyer has been waiting for 5.5 months. WF has stretched this contract out until XXXX. I am going to lose this buyer too because of WF 's stalling tactics.   We have provided all documents requested within 1 business day in every instance. If WF has a different definition of a short sale, then they should have stated it up front and never let this go on this long. We have been up front and honest with them all the way.   I was paying the mortgage up until XXXX. I was told at that time, that they could n't even consider a short sale unless I was 31 days late. If I ca n't sell my house for what I owe on it, why does it matter if I am paying the mortgage or not?  ",Wells Fargo & Company,VA,24400.0,Closed with explanation,Yes,
64023,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,"Ftc case # XXXX, XXXX/XXXX/2008 states that reporting of tribute XXXX ( compu credit ) by XXXX party collections is prohibited. I have sent this documentation and a request for removal per this ruling to XXXX XXXX XXXX. They are refusing to remove this trade line after receiving sufficient information supporting the request for removal.  ",Atlanticus Services Corporation,IL,60100.0,Closed,Yes,
64024,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"RE : XXXX Contacted Navy Federal CU to setup my mortgage payment this month. Due to recurring issues with car repairs I had to set the payment up in two installments, the first payment dated for today and the second payment dated for XX/XX/XXXX.   I was told by a collections rep, by the name of XXXX/Employee ID # XXXX, that it was against their policy to set the payment up in installments. I have felt with this issue before with Navy Fed CU and advised the representative that he was incorrect and that he needed to set my payment up as I had requested.   After dealing with his frustrating and harassing tactics for over 30 minutes he finally set the payments up as I had requested of him, in installments as outlined above. The employee did not act in accordance with their policies and procedures and I asked him on many occasions why he was refusing to take my payment. He refused to answer the question, primarily because calls are recorded.   It seems to me that this tactic can be construed as Navy Federal CU causing consumers frustration and stress which could lead in consumers becoming delinquent with their mortgage payments. Navy Federal CU needs to put a stop to these harassing tactics - when consumers call in to make a payment they need to be accommodating and not harassing. I would like this concern to be made public and I want someone in Management or in the Legal Dept at Navy Fed CU to contact me.   Lastly, I want to also mention that my mortgage with Navy Fed CU has never been more than 30 days late so I do n't deserve to be treated like someone who is n't paying their bills responsibly.  ",Navy FCU,VA,23400.0,Closed with explanation,Yes,
64025,Credit card,,Privacy,,"I have never missed a credit card payment an have an excellent FICO score, so imagine my surprise when I received an email notifying me that my XXXX payment had not been received by Target. I paid that bill on time, mailed it with a return address label along with several other pieces of mail, many days before the bill due date. The other mailed items all got to their destinations and I am sure Target got mine. I have no idea how it was lost. I called the XXXX number and was told by your rep that the only way to avoid the {$26.00} in service charges was to pay by check immediately. I gave him my information and told him I did not want it saved in the system. He told me that was not possible. That is outrageous given that Target has already been hacked. I want that information removed immediately. I contacted Target through their online contact us and got a response explaining that my information was secure and they again refused to remove it. This is not satisfactory. I believe that Target should not be allowed to save that information against my wishes.  ",TD Bank US Holding Company,FL,34600.0,Closed with explanation,Yes,
64026,Consumer Loan,Installment loan,Managing the loan or lease,,"It 's for a time share annual dues. The time share gave the debt because I forgot to pay back in XXXX when my credit card was stolen, which I reported. When IO finally got a reminder letter it had already been sent to collections around XXXX. Meridian Financial is the company collecting. The original debt was for about {$680.00}, Meridian wants me to pay {$1100.00}. The same person calls me, during working hours which I have asked him not to call during those times, and he states that he can not call me any other time to work out a payment plan or settlement. When I aske him not to call me during working hours he argues with me, that I should be able to take personal calls at work, and asked why I answered. I answered so that I could let him know that i need a call back after XXXX I believe my rights are being violated on XXXX fronts, I believe I 'm being overcharged for this {$680.00} debt, and calling during working hours, and harassing me at work. I have phone records for verification upon request.  ","Meridian Financial Services, Inc.",CA,90800.0,Closed with explanation,No,
64027,Credit reporting,,Incorrect information on credit report,Public record,I purchased a vehicle in XXXX of 2014 and every credit inquiry is listed twice. All XXXX listed hard inquiries are for the same vehicle purchase.  ,"TransUnion Intermediate Holdings, Inc.",WI,54000.0,Closed with explanation,Yes,
64028,Debt collection,I do not know,Improper contact or sharing of info,Talked to a third party about my debt,I am not familiar with this company and do not understand why they are on my credit. These inquires effect my credit in a negative way. I would like them to be removed.  ,ERC,CA,92800.0,Closed with non-monetary relief,Yes,
64029,Credit card,,Transaction issue,,"I told Citi Bank one of the XXXX charges for XXXX XXXX XXXX on my account was a fraud in XXXX 2015. Citi fixed that issue very quickly but than the next XXXX months when I paid my XXXX XXXX XXXX account for XXXX and XXXX, in XXXX Citi unauthorized those transactions thinking that is fraud. When I called them and asked them why would they do that, they said I mentioned that the XXXX charge for XXXX XXXX XXXX I said was fraud because I closed my account with XXXX XXXX XXXX. Which was not true at all. Now XXXX XXXX XXXX charged me for late fees and put a hold on my account for XXXX months since XXXX months transactions were unauthorized the same day. If the first XXXX was unauthorized immediately I would have known and resolved the issue between these XXXX big companies, but neither of them are helping me out.  I would like Citi to refund me for the late payment charges I paid to XXXX XXXX XXXX and XXXX XXXX XXXX XXXX and ask for the hold to be taken off my account.  ",Citibank,CA,94500.0,Closed with monetary relief,Yes,
64030,Bank account or service,Checking account,Using a debit or ATM card,,I recently had my small business ATM card duplicated unbeknownst to me and someone went out and made a bunch of fraudulent charges on the is card. When I discovered these charges I reported it to the bank ( Bank of America ) and the XXXX XXXX County Sheriffs office. Bank of America originally credited me for theses fraudulent charges and sent me some paperwork which filled out which included the contact information and case number provided to me by the XXXX XXXX County Sheriffs office regarding these fraudulent charges. Now Bank of America has reversed the credit given to me for the fraudulent charges.  ,Bank of America,CA,91700.0,Closed with monetary relief,Yes,
64031,Credit reporting,,Incorrect information on credit report,Personal information,"I had recently applied for a mortgage loan and was denied. I was troubled by the results because I had recently hired XXXX XXXX to help me in repairing my credit score. After getting denied I asked to view my credit report. So online I viewed it and noticed some disturbing information. Experian has had a lot of errors that has affected my credit for a long time.  In the personal summary, the XXXX main problems are as follows : The social security number is completely wrong. As well as the names listed. However, I do know the person that is listed on my report. It clearly states that the name on it is XXXX XXXX who indeed is my son and it is also his SSN on my report.  Which means they are looking at his history and not minds. Also I wondered why was my application for numerous things always being denied and yet it never hit me til now. Because I know my credit should n't be at a poor status even the other credit monitoring companies have a differential in score.  ",Experian,HI,96800.0,Closed with non-monetary relief,Yes,
